"method","data_type","rep","hit","fp"
"pelt","gaussian",1,TRUE,0
"pelt","gaussian",2,TRUE,0
"pelt","gaussian",3,TRUE,0
"pelt","gaussian",4,TRUE,0
"pelt","gaussian",5,TRUE,0
"pelt","gaussian",6,TRUE,0
"pelt","gaussian",7,TRUE,0
"pelt","gaussian",8,TRUE,0
"pelt","gaussian",9,TRUE,0
"pelt","gaussian",10,TRUE,0
"pelt","bernoulli",1,TRUE,0
"pelt","bernoulli",2,FALSE,1
"pelt","bernoulli",3,TRUE,0
"pelt","bernoulli",4,TRUE,0
"pelt","bernoulli",5,TRUE,0
"pelt","bernoulli",6,TRUE,0
"pelt","bernoulli",7,FALSE,1
"pelt","bernoulli",8,TRUE,0
"pelt","bernoulli",9,TRUE,0
"pelt","bernoulli",10,TRUE,0
"pelt","poisson",1,TRUE,30
"pelt","poisson",2,TRUE,18
"pelt","poisson",3,TRUE,24
"pelt","poisson",4,TRUE,25
"pelt","poisson",5,TRUE,20
"pelt","poisson",6,TRUE,18
"pelt","poisson",7,TRUE,28
"pelt","poisson",8,TRUE,21
"pelt","poisson",9,TRUE,22
"pelt","poisson",10,TRUE,18
"pelt","proportion",1,FALSE,0
"pelt","proportion",2,FALSE,0
"pelt","proportion",3,FALSE,0
"pelt","proportion",4,FALSE,0
"pelt","proportion",5,FALSE,0
"pelt","proportion",6,FALSE,0
"pelt","proportion",7,FALSE,0
"pelt","proportion",8,FALSE,0
"pelt","proportion",9,FALSE,0
"pelt","proportion",10,FALSE,0
"binseg","gaussian",1,TRUE,0
"binseg","gaussian",2,TRUE,0
"binseg","gaussian",3,TRUE,0
"binseg","gaussian",4,TRUE,0
"binseg","gaussian",5,TRUE,0
"binseg","gaussian",6,TRUE,0
"binseg","gaussian",7,TRUE,0
"binseg","gaussian",8,TRUE,0
"binseg","gaussian",9,TRUE,0
"binseg","gaussian",10,TRUE,0
"binseg","bernoulli",1,TRUE,0
"binseg","bernoulli",2,TRUE,0
"binseg","bernoulli",3,TRUE,0
"binseg","bernoulli",4,TRUE,0
"binseg","bernoulli",5,TRUE,0
"binseg","bernoulli",6,TRUE,0
"binseg","bernoulli",7,TRUE,0
"binseg","bernoulli",8,TRUE,0
"binseg","bernoulli",9,TRUE,0
"binseg","bernoulli",10,TRUE,0
"binseg","poisson",1,TRUE,2
"binseg","poisson",2,TRUE,2
"binseg","poisson",3,TRUE,3
"binseg","poisson",4,TRUE,4
"binseg","poisson",5,TRUE,0
"binseg","poisson",6,TRUE,4
"binseg","poisson",7,TRUE,4
"binseg","poisson",8,TRUE,1
"binseg","poisson",9,TRUE,3
"binseg","poisson",10,TRUE,2
"binseg","proportion",1,FALSE,0
"binseg","proportion",2,FALSE,0
"binseg","proportion",3,FALSE,0
"binseg","proportion",4,FALSE,0
"binseg","proportion",5,FALSE,0
"binseg","proportion",6,FALSE,0
"binseg","proportion",7,FALSE,0
"binseg","proportion",8,FALSE,0
"binseg","proportion",9,FALSE,0
"binseg","proportion",10,FALSE,0
"segneigh","gaussian",1,TRUE,0
"segneigh","gaussian",2,TRUE,0
"segneigh","gaussian",3,TRUE,0
"segneigh","gaussian",4,TRUE,0
"segneigh","gaussian",5,TRUE,0
"segneigh","gaussian",6,TRUE,0
