"method","rep","k","scale","shift","reversal","concat_k","dup_k","error"
"pelt",1,2,FALSE,TRUE,TRUE,4,2,NA
"pelt",2,2,FALSE,TRUE,TRUE,4,2,NA
"pelt",3,2,FALSE,TRUE,TRUE,4,2,NA
"pelt",4,2,FALSE,TRUE,TRUE,4,2,NA
"pelt",5,2,FALSE,TRUE,TRUE,4,2,NA
"binseg",1,2,FALSE,TRUE,TRUE,4,2,NA
"binseg",2,2,FALSE,TRUE,TRUE,4,2,NA
"binseg",3,2,FALSE,TRUE,TRUE,4,2,NA
"binseg",4,2,FALSE,TRUE,TRUE,4,2,NA
"binseg",5,2,FALSE,TRUE,TRUE,5,2,NA
"segneigh",1,2,FALSE,TRUE,TRUE,4,3,NA
"segneigh",2,2,FALSE,TRUE,TRUE,4,3,NA
"segneigh",3,2,FALSE,TRUE,TRUE,4,4,NA
"segneigh",4,2,FALSE,TRUE,TRUE,4,4,NA
"segneigh",5,2,FALSE,TRUE,TRUE,4,4,NA
"amoc",1,1,FALSE,TRUE,TRUE,1,1,NA
"amoc",2,1,FALSE,TRUE,TRUE,1,1,NA
"amoc",3,1,FALSE,TRUE,TRUE,1,1,NA
"amoc",4,1,FALSE,TRUE,TRUE,1,1,NA
"amoc",5,1,FALSE,TRUE,TRUE,1,1,NA
"np",1,2,TRUE,TRUE,TRUE,4,5,NA
"np",2,2,TRUE,TRUE,TRUE,4,4,NA
"np",3,2,TRUE,TRUE,TRUE,4,6,NA
"np",4,2,TRUE,TRUE,TRUE,4,8,NA
"np",5,2,TRUE,TRUE,TRUE,6,6,NA
"ecp",1,2,TRUE,TRUE,TRUE,4,6,NA
"ecp",2,2,TRUE,TRUE,TRUE,4,2,NA
"ecp",3,2,TRUE,TRUE,TRUE,4,4,NA
"ecp",4,2,TRUE,TRUE,TRUE,4,2,NA
"ecp",5,2,TRUE,TRUE,TRUE,4,3,NA
"fpop",1,2,FALSE,TRUE,TRUE,4,3,NA
"fpop",2,2,FALSE,TRUE,TRUE,4,2,NA
"fpop",3,2,FALSE,TRUE,TRUE,4,2,NA
"fpop",4,2,FALSE,TRUE,TRUE,4,2,NA
"fpop",5,2,FALSE,TRUE,TRUE,4,2,NA
"wbs",1,2,TRUE,TRUE,TRUE,4,2,NA
"wbs",2,2,TRUE,TRUE,TRUE,4,2,NA
"wbs",3,2,TRUE,TRUE,TRUE,4,4,NA
"wbs",4,2,TRUE,TRUE,TRUE,4,2,NA
"wbs",5,2,TRUE,TRUE,TRUE,4,2,NA
"wbs2",1,2,TRUE,TRUE,TRUE,4,199,NA
"wbs2",2,2,TRUE,TRUE,TRUE,4,199,NA
"wbs2",3,2,TRUE,TRUE,TRUE,4,199,NA
"wbs2",4,2,TRUE,TRUE,TRUE,4,199,NA
"wbs2",5,2,TRUE,TRUE,TRUE,4,199,NA
"not",1,2,TRUE,TRUE,TRUE,4,2,NA
"not",2,2,TRUE,TRUE,TRUE,4,2,NA
"not",3,2,TRUE,TRUE,TRUE,4,4,NA
"not",4,2,TRUE,TRUE,TRUE,4,2,NA
"not",5,2,TRUE,TRUE,TRUE,4,2,NA
"mosum",1,2,TRUE,TRUE,TRUE,4,3,NA
"mosum",2,2,TRUE,TRUE,TRUE,4,3,NA
"mosum",3,2,TRUE,TRUE,TRUE,4,2,NA
"mosum",4,2,TRUE,TRUE,TRUE,4,5,NA
"mosum",5,2,TRUE,TRUE,TRUE,4,3,NA
"idetect",1,2,TRUE,TRUE,TRUE,4,161,NA
"idetect",2,2,TRUE,TRUE,TRUE,4,174,NA
"idetect",3,2,TRUE,TRUE,TRUE,4,168,NA
"idetect",4,2,TRUE,TRUE,TRUE,4,170,NA
"idetect",5,2,TRUE,TRUE,TRUE,4,172,NA
"tguh",1,2,TRUE,TRUE,TRUE,4,2,NA
