"method","setting","regime","rep","hits","fp"
"pelt","default","iid",1,2,0
"pelt","default","iid",2,2,0
"pelt","default","iid",3,2,0
"pelt","default","iid",4,2,0
"pelt","default","iid",5,2,0
"pelt","default","iid",6,2,0
"pelt","default","iid",7,2,0
"pelt","default","iid",8,2,0
"pelt","default","iid",9,2,0
"pelt","default","iid",10,2,0
"pelt","default","heavy",1,2,0
"pelt","default","heavy",2,2,0
"pelt","default","heavy",3,2,0
"pelt","default","heavy",4,2,0
"pelt","default","heavy",5,2,0
"pelt","default","heavy",6,2,0
"pelt","default","heavy",7,2,0
"pelt","default","heavy",8,2,0
"pelt","default","heavy",9,2,4
"pelt","default","heavy",10,2,0
"pelt","default","ar1",1,1,3
"pelt","default","ar1",2,2,0
"pelt","default","ar1",3,2,2
"pelt","default","ar1",4,2,0
"pelt","default","ar1",5,2,0
"pelt","default","ar1",6,2,4
"pelt","default","ar1",7,2,0
"pelt","default","ar1",8,2,2
"pelt","default","ar1",9,1,1
"pelt","default","ar1",10,1,3
"pelt","default","hetero",1,2,5
"pelt","default","hetero",2,2,3
"pelt","default","hetero",3,2,7
"pelt","default","hetero",4,2,0
"pelt","default","hetero",5,2,6
"pelt","default","hetero",6,2,4
"pelt","default","hetero",7,2,1
"pelt","default","hetero",8,2,11
"pelt","default","hetero",9,2,11
"pelt","default","hetero",10,2,9
"pelt","change_in = ""meanvar""","iid",1,2,0
"pelt","change_in = ""meanvar""","iid",2,2,0
"pelt","change_in = ""meanvar""","iid",3,2,0
"pelt","change_in = ""meanvar""","iid",4,2,0
"pelt","change_in = ""meanvar""","iid",5,2,0
"pelt","change_in = ""meanvar""","iid",6,2,0
"pelt","change_in = ""meanvar""","iid",7,2,0
"pelt","change_in = ""meanvar""","iid",8,2,0
"pelt","change_in = ""meanvar""","iid",9,2,0
"pelt","change_in = ""meanvar""","iid",10,2,0
"pelt","change_in = ""meanvar""","heavy",1,2,1
"pelt","change_in = ""meanvar""","heavy",2,2,3
"pelt","change_in = ""meanvar""","heavy",3,2,1
"pelt","change_in = ""meanvar""","heavy",4,2,0
"pelt","change_in = ""meanvar""","heavy",5,2,1
"pelt","change_in = ""meanvar""","heavy",6,2,0
"pelt","change_in = ""meanvar""","heavy",7,2,1
"pelt","change_in = ""meanvar""","heavy",8,2,0
"pelt","change_in = ""meanvar""","heavy",9,2,4
"pelt","change_in = ""meanvar""","heavy",10,2,0
"pelt","change_in = ""meanvar""","ar1",1,1,3
"pelt","change_in = ""meanvar""","ar1",2,2,0
"pelt","change_in = ""meanvar""","ar1",3,2,1
"pelt","change_in = ""meanvar""","ar1",4,2,1
"pelt","change_in = ""meanvar""","ar1",5,2,0
"pelt","change_in = ""meanvar""","ar1",6,2,5
"pelt","change_in = ""meanvar""","ar1",7,2,2
"pelt","change_in = ""meanvar""","ar1",8,2,2
"pelt","change_in = ""meanvar""","ar1",9,1,2
"pelt","change_in = ""meanvar""","ar1",10,1,4
"pelt","change_in = ""meanvar""","hetero",1,2,0
"pelt","change_in = ""meanvar""","hetero",2,2,0
"pelt","change_in = ""meanvar""","hetero",3,2,0
"pelt","change_in = ""meanvar""","hetero",4,2,0
"pelt","change_in = ""meanvar""","hetero",5,2,0
"pelt","change_in = ""meanvar""","hetero",6,2,0
"pelt","change_in = ""meanvar""","hetero",7,2,0
"pelt","change_in = ""meanvar""","hetero",8,2,0
"pelt","change_in = ""meanvar""","hetero",9,2,0
"pelt","change_in = ""meanvar""","hetero",10,2,0
"binseg","default","iid",1,2,0
"binseg","default","iid",2,2,0
"binseg","default","iid",3,2,0
"binseg","default","iid",4,2,0
"binseg","default","iid",5,2,0
"binseg","default","iid",6,2,0
"binseg","default","iid",7,2,1
"binseg","default","iid",8,2,0
"binseg","default","iid",9,2,0
"binseg","default","iid",10,2,0
"binseg","default","heavy",1,2,0
"binseg","default","heavy",2,2,0
"binseg","default","heavy",3,2,0
"binseg","default","heavy",4,2,0
"binseg","default","heavy",5,2,0
"binseg","default","heavy",6,2,0
"binseg","default","heavy",7,2,0
"binseg","default","heavy",8,2,0
"binseg","default","heavy",9,2,0
"binseg","default","heavy",10,2,0
"binseg","default","ar1",1,1,3
"binseg","default","ar1",2,2,0
"binseg","default","ar1",3,2,2
"binseg","default","ar1",4,2,0
"binseg","default","ar1",5,2,0
"binseg","default","ar1",6,2,2
"binseg","default","ar1",7,2,1
"binseg","default","ar1",8,2,2
"binseg","default","ar1",9,1,1
"binseg","default","ar1",10,1,2
"binseg","default","hetero",1,2,0
"binseg","default","hetero",2,2,3
"binseg","default","hetero",3,2,1
"binseg","default","hetero",4,2,0
"binseg","default","hetero",5,2,0
"binseg","default","hetero",6,2,2
"binseg","default","hetero",7,2,0
"binseg","default","hetero",8,2,0
"binseg","default","hetero",9,2,1
"binseg","default","hetero",10,2,2
"binseg","change_in = ""meanvar""","iid",1,2,0
"binseg","change_in = ""meanvar""","iid",2,2,0
"binseg","change_in = ""meanvar""","iid",3,2,0
"binseg","change_in = ""meanvar""","iid",4,2,0
"binseg","change_in = ""meanvar""","iid",5,2,0
"binseg","change_in = ""meanvar""","iid",6,2,0
"binseg","change_in = ""meanvar""","iid",7,2,0
"binseg","change_in = ""meanvar""","iid",8,2,0
"binseg","change_in = ""meanvar""","iid",9,2,0
"binseg","change_in = ""meanvar""","iid",10,1,1
"binseg","change_in = ""meanvar""","heavy",1,2,1
"binseg","change_in = ""meanvar""","heavy",2,2,1
"binseg","change_in = ""meanvar""","heavy",3,2,1
"binseg","change_in = ""meanvar""","heavy",4,2,0
"binseg","change_in = ""meanvar""","heavy",5,2,1
"binseg","change_in = ""meanvar""","heavy",6,2,0
"binseg","change_in = ""meanvar""","heavy",7,2,1
"binseg","change_in = ""meanvar""","heavy",8,2,0
"binseg","change_in = ""meanvar""","heavy",9,2,2
"binseg","change_in = ""meanvar""","heavy",10,2,0
"binseg","change_in = ""meanvar""","ar1",1,1,3
"binseg","change_in = ""meanvar""","ar1",2,2,0
"binseg","change_in = ""meanvar""","ar1",3,2,1
"binseg","change_in = ""meanvar""","ar1",4,2,1
"binseg","change_in = ""meanvar""","ar1",5,2,0
"binseg","change_in = ""meanvar""","ar1",6,2,3
"binseg","change_in = ""meanvar""","ar1",7,2,0
"binseg","change_in = ""meanvar""","ar1",8,2,2
"binseg","change_in = ""meanvar""","ar1",9,1,2
"binseg","change_in = ""meanvar""","ar1",10,1,1
"binseg","change_in = ""meanvar""","hetero",1,2,0
"binseg","change_in = ""meanvar""","hetero",2,2,0
"binseg","change_in = ""meanvar""","hetero",3,2,0
"binseg","change_in = ""meanvar""","hetero",4,2,0
"binseg","change_in = ""meanvar""","hetero",5,2,0
"binseg","change_in = ""meanvar""","hetero",6,2,0
"binseg","change_in = ""meanvar""","hetero",7,2,0
"binseg","change_in = ""meanvar""","hetero",8,2,0
"binseg","change_in = ""meanvar""","hetero",9,2,0
"binseg","change_in = ""meanvar""","hetero",10,2,0
"segneigh","default","iid",1,2,1
"segneigh","default","iid",2,2,0
"segneigh","default","iid",3,2,0
"segneigh","default","iid",4,2,0
"segneigh","default","iid",5,2,0
"segneigh","default","iid",6,2,0
"segneigh","default","iid",7,2,0
"segneigh","default","iid",8,2,0
"segneigh","default","iid",9,2,0
"segneigh","default","iid",10,2,2
"segneigh","default","heavy",1,2,2
"segneigh","default","heavy",2,2,2
"segneigh","default","heavy",3,2,2
"segneigh","default","heavy",4,2,2
"segneigh","default","heavy",5,2,2
"segneigh","default","heavy",6,2,0
"segneigh","default","heavy",7,2,2
"segneigh","default","heavy",8,2,2
"segneigh","default","heavy",9,2,2
"segneigh","default","heavy",10,2,2
"segneigh","default","ar1",1,1,3
"segneigh","default","ar1",2,2,2
"segneigh","default","ar1",3,2,2
"segneigh","default","ar1",4,2,0
"segneigh","default","ar1",5,2,2
"segneigh","default","ar1",6,2,2
"segneigh","default","ar1",7,2,2
"segneigh","default","ar1",8,2,2
"segneigh","default","ar1",9,1,3
"segneigh","default","ar1",10,1,3
"segneigh","default","hetero",1,2,2
"segneigh","default","hetero",2,2,2
"segneigh","default","hetero",3,2,0
"segneigh","default","hetero",4,2,2
"segneigh","default","hetero",5,2,1
"segneigh","default","hetero",6,2,2
"segneigh","default","hetero",7,2,1
"segneigh","default","hetero",8,2,2
"segneigh","default","hetero",9,2,2
"segneigh","default","hetero",10,2,2
"amoc","default","iid",1,1,0
