"method","n","rep","fp"
"pelt",1000,1,0
"pelt",1000,2,0
"pelt",1000,3,0
"pelt",1000,4,0
"pelt",1000,5,0
"pelt",1000,6,0
"pelt",1000,7,0
"pelt",1000,8,0
"pelt",1000,9,0
"pelt",1000,10,0
"pelt",1000,11,0
"pelt",1000,12,0
"pelt",1000,13,0
"pelt",1000,14,0
"pelt",1000,15,0
"pelt",1000,16,0
"pelt",1000,17,0
"pelt",1000,18,0
"pelt",1000,19,0
"pelt",1000,20,0
"pelt",1000,21,0
"pelt",1000,22,0
"pelt",1000,23,0
"pelt",1000,24,0
"pelt",1000,25,0
"pelt",1000,26,0
"pelt",1000,27,0
"pelt",1000,28,0
"pelt",1000,29,0
"pelt",1000,30,0
"pelt",1000,31,0
"pelt",1000,32,0
"pelt",1000,33,0
"pelt",1000,34,0
"pelt",1000,35,0
"pelt",1000,36,0
"pelt",1000,37,0
"pelt",1000,38,0
"pelt",1000,39,0
"pelt",1000,40,0
"pelt",1000,41,0
"pelt",1000,42,0
"pelt",1000,43,0
"pelt",1000,44,0
"pelt",1000,45,0
"pelt",1000,46,0
"pelt",1000,47,0
"pelt",1000,48,0
"pelt",1000,49,0
"pelt",1000,50,0
"binseg",1000,1,0
"binseg",1000,2,0
"binseg",1000,3,0
"binseg",1000,4,0
"binseg",1000,5,0
"binseg",1000,6,0
"binseg",1000,7,0
"binseg",1000,8,0
"binseg",1000,9,0
"binseg",1000,10,0
"binseg",1000,11,0
"binseg",1000,12,0
"binseg",1000,13,0
"binseg",1000,14,0
"binseg",1000,15,0
"binseg",1000,16,0
"binseg",1000,17,0
"binseg",1000,18,0
"binseg",1000,19,0
"binseg",1000,20,0
"binseg",1000,21,0
"binseg",1000,22,0
"binseg",1000,23,0
"binseg",1000,24,0
"binseg",1000,25,0
"binseg",1000,26,0
"binseg",1000,27,0
"binseg",1000,28,0
"binseg",1000,29,0
"binseg",1000,30,0
"binseg",1000,31,0
"binseg",1000,32,0
"binseg",1000,33,0
"binseg",1000,34,0
"binseg",1000,35,0
"binseg",1000,36,0
"binseg",1000,37,0
"binseg",1000,38,0
"binseg",1000,39,0
"binseg",1000,40,0
"binseg",1000,41,0
"binseg",1000,42,0
"binseg",1000,43,0
"binseg",1000,44,0
"binseg",1000,45,0
"binseg",1000,46,0
"binseg",1000,47,0
"binseg",1000,48,0
"binseg",1000,49,0
"binseg",1000,50,0
"segneigh",1000,1,0
"segneigh",1000,2,0
"segneigh",1000,3,0
"segneigh",1000,4,0
"segneigh",1000,5,0
"segneigh",1000,6,0
"segneigh",1000,7,0
"segneigh",1000,8,0
"segneigh",1000,9,0
"segneigh",1000,10,0
"segneigh",1000,11,0
"segneigh",1000,12,1
"segneigh",1000,13,0
"segneigh",1000,14,0
"segneigh",1000,15,0
"segneigh",1000,16,0
"segneigh",1000,17,0
"segneigh",1000,18,0
"segneigh",1000,19,0
"segneigh",1000,20,0
"segneigh",1000,21,0
"segneigh",1000,22,0
"segneigh",1000,23,0
"segneigh",1000,24,0
"segneigh",1000,25,0
"segneigh",1000,26,0
"segneigh",1000,27,0
"segneigh",1000,28,0
"segneigh",1000,29,0
"segneigh",1000,30,0
"segneigh",1000,31,0
"segneigh",1000,32,0
"segneigh",1000,33,0
"segneigh",1000,34,0
"segneigh",1000,35,0
"segneigh",1000,36,0
"segneigh",1000,37,0
"segneigh",1000,38,0
"segneigh",1000,39,0
"segneigh",1000,40,0
"segneigh",1000,41,0
"segneigh",1000,42,0
"segneigh",1000,43,0
"segneigh",1000,44,0
"segneigh",1000,45,0
"segneigh",1000,46,0
"segneigh",1000,47,0
"segneigh",1000,48,0
"segneigh",1000,49,0
"segneigh",1000,50,0
"amoc",1000,1,0
"amoc",1000,2,0
"amoc",1000,3,0
"amoc",1000,4,0
"amoc",1000,5,0
"amoc",1000,6,0
"amoc",1000,7,0
"amoc",1000,8,0
"amoc",1000,9,0
"amoc",1000,10,0
"amoc",1000,11,0
"amoc",1000,12,0
"amoc",1000,13,0
"amoc",1000,14,0
"amoc",1000,15,0
"amoc",1000,16,0
"amoc",1000,17,0
"amoc",1000,18,0
"amoc",1000,19,0
"amoc",1000,20,0
"amoc",1000,21,0
"amoc",1000,22,0
"amoc",1000,23,0
"amoc",1000,24,0
"amoc",1000,25,0
"amoc",1000,26,0
"amoc",1000,27,0
"amoc",1000,28,0
"amoc",1000,29,0
"amoc",1000,30,0
"amoc",1000,31,0
"amoc",1000,32,0
"amoc",1000,33,0
"amoc",1000,34,0
"amoc",1000,35,0
"amoc",1000,36,0
"amoc",1000,37,0
"amoc",1000,38,0
"amoc",1000,39,0
"amoc",1000,40,0
"amoc",1000,41,0
"amoc",1000,42,0
"amoc",1000,43,0
"amoc",1000,44,0
"amoc",1000,45,0
"amoc",1000,46,0
"amoc",1000,47,0
"amoc",1000,48,0
"amoc",1000,49,0
"amoc",1000,50,0
"np",1000,1,2
"np",1000,2,2
"np",1000,3,6
"np",1000,4,0
"np",1000,5,2
"np",1000,6,1
"np",1000,7,1
"np",1000,8,2
"np",1000,9,0
"np",1000,10,2
"np",1000,11,7
"np",1000,12,1
"np",1000,13,1
"np",1000,14,2
"np",1000,15,4
"np",1000,16,2
"np",1000,17,0
"np",1000,18,2
"np",1000,19,2
"np",1000,20,2
"np",1000,21,2
"np",1000,22,6
"np",1000,23,2
"np",1000,24,0
"np",1000,25,2
"np",1000,26,2
"np",1000,27,2
"np",1000,28,0
"np",1000,29,2
