"method","n","seconds","k","status","message"
"pelt",1000,0.00800000000000001,4,"ok",""
"pelt",10000,0.0139999999999998,4,"ok",""
"pelt",1e+05,0.0710000000000002,4,"ok",""
"pelt",1e+06,1.015,4,"ok",""
"binseg",1000,0.0069999999999999,4,"ok",""
"binseg",10000,0.0129999999999999,4,"ok",""
"binseg",1e+05,0.0680000000000001,4,"ok",""
"binseg",1e+06,NA,NA,"error",""
"segneigh",1000,0.164,4,"ok",""
"segneigh",10000,10.954,4,"ok",""
"amoc",1000,0.00600000000000001,1,"ok",""
"amoc",10000,0.00900000000000012,1,"ok",""
"amoc",1e+05,0.0419999999999998,1,"ok",""
"amoc",1e+06,0.587,1,"ok",""
"np",1000,0.04,4,"ok",""
"np",10000,1.903,6,"ok",""
"np",1e+05,106.07,6,"ok",""
"ecp",1000,20.43,4,"ok",""
"fpop",1000,0.00600000000000001,4,"ok",""
"fpop",10000,0.01,4,"ok",""
"fpop",1e+05,0.0569999999999999,4,"ok",""
"fpop",1e+06,0.826,4,"ok",""
"wbs",1000,0.0620000000000001,4,"ok",""
"wbs",10000,0.299,4,"ok",""
"wbs",1e+05,2.554,4,"ok",""
"wbs",1e+06,25.835,4,"ok",""
"wbs2",1000,1.097,4,"ok",""
"wbs2",10000,12.222,4,"ok",""
"not",1000,0.0850000000000002,4,"ok",""
"not",10000,0.245,4,"ok",""
"not",1e+05,1.835,4,"ok",""
"not",1e+06,17.303,4,"ok",""
"mosum",1000,0.0069999999999999,4,"ok",""
"mosum",10000,0.00999999999999979,4,"ok",""
"mosum",1e+05,0.107,4,"ok",""
"mosum",1e+06,0.537,4,"ok",""
"idetect",1000,0.0169999999999999,4,"ok",""
"idetect",10000,0.315,4,"ok",""
"idetect",1e+05,5.417,4,"ok",""
"idetect",1e+06,60.977,4,"ok",""
"tguh",1000,0.199,4,"ok",""
"tguh",10000,0.465,4,"ok",""
"tguh",1e+05,3.433,4,"ok",""
"tguh",1e+06,33.952,4,"ok",""
"smuce",1000,0.904,4,"ok",""
"smuce",10000,0.104,4,"ok",""
"smuce",1e+05,NA,NA,"timeout",""
"hsmuce",1000,0.0519999999999998,4,"ok",""
"hsmuce",10000,0.109,4,"ok",""
"hsmuce",1e+05,NA,NA,"timeout",""
"cpop",1000,3.736,8,"ok",""
"cpop",10000,NA,NA,"timeout",""
"bcp",1000,0.638,4,"ok",""
"bcp",10000,5.304,0,"ok",""
"bcp",1e+05,40.269,0,"ok",""
"bocpd",1000,4.528,4,"ok",""
"bocpd",10000,NA,NA,"timeout",""
"beast",1000,0.172,4,"ok",""
"beast",10000,1.002,4,"ok",""
"beast",1e+05,15.35,4,"ok",""
"cpm",1000,0.00900000000000012,4,"ok",""
"cpm",10000,0.127,4,"ok",""
"cpm",1e+05,11.758,6,"ok",""
"kcp",1000,58.367,4,"ok",""
"npmojo",1000,2.07,4,"ok",""
"npmojo",10000,NA,NA,"timeout",""
"decafs",1000,0.0940000000000001,1,"ok",""
"decafs",10000,0.152,4,"ok",""
"decafs",1e+05,0.633,4,"ok",""
"decafs",1e+06,7.037,4,"ok",""
"sn",1000,2.194,4,"ok",""
"sn",10000,96.046,4,"ok",""
"inspect",1000,0.142,4,"ok",""
"inspect",10000,0.541,4,"ok",""
"inspect",1e+05,NA,NA,"error","! in callr subprocess.
Caused by error in `if (...) NULL`:
! missing value where TRUE/FALSE needed"
"ocd",1000,NA,NA,"timeout",""
"geomcp",1000,0.111,8,"ok",""
"geomcp",10000,0.228,4,"ok",""
"geomcp",1e+05,1.82,8,"ok",""
"geomcp",1e+06,18.359,8,"ok",""
"strucchange",1000,3.177,4,"ok",""
"strucchange",10000,NA,NA,"timeout",""
"segmented",1000,0.089,1,"ok",""
"segmented",10000,0.206,1,"ok",""
"segmented",1e+05,2.293,1,"ok",""
"segmented",1e+06,13.949,1,"ok",""
"envcpt",1000,1.083,4,"ok",""
"envcpt",10000,41,4,"ok",""
"fastcpd",1000,0.012,4,"ok",""
"fastcpd",10000,0.056,4,"ok",""
"fastcpd",1e+05,0.443,4,"ok",""
